ID_REF,MCM2,DEK,H2AFZ,METRN,NFIB,TPX2,MCM6,TOPBP1,FEN1,TTK,ESR1,MELK,E2F3,CYP2B7P,TP53TG1,RARRES1,ROPN1B,PLCH1,SLC7A8,MLPH,Result
GSM615096,10.18781691,10.31213244,11.55056068,9.63818515,10.41039783,9.236794747,9.954520323,9.79442258,8.962792211,6.703874656,13.932331,8.263673525,8.880815966,8.353019803,9.988095239,8.898158282,8.130145779,7.757802366,10.52191044,13.19900713,0
GSM615097,9.783019055,11.48644178,11.17233504,8.464495308,12.54376311,9.458154257,10.04955321,9.111205278,8.809444727,7.994119214,12.87302858,9.276462022,8.08239847,9.433880665,9.906479774,10.33235538,7.863642474,7.368553475,10.01060663,13.41623475,0
GSM615098,10.99601308,11.44444172,12.40334433,7.785611485,12.5658364,11.35392611,11.02988374,9.742067265,9.833161438,10.01098475,9.129869317,11.0262558,9.560577698,5.201450998,8.857866303,10.29335508,9.373996004,9.143447932,8.518157501,9.567919493,0
GSM615099,11.27285579,13.11888698,13.04983865,7.160173909,11.84600012,11.38408063,12.46225539,10.35803641,10.43634604,10.31537082,8.195574032,11.00985731,9.804574801,7.811523898,9.271842845,8.808279933,8.473070081,8.818380484,9.115116886,9.315489635,1
GSM615100,10.57202183,10.5789764,11.7444533,8.915150542,9.402906273,9.560162595,10.09238118,9.72475043,9.77829184,7.404216642,12.1039789,9.372959111,8.107996533,12.08266571,9.024407858,8.917951256,7.308128047,6.730788643,9.121411205,12.02963694,0
GSM615101,11.07445451,13.35083127,12.75400428,7.938279908,12.03186052,11.70775715,11.93069604,10.39828719,10.45852588,10.76661277,7.622208283,10.50989697,10.88320006,5.735525806,8.557601563,9.333022678,8.307356114,8.202242395,7.786216655,9.472689018,0
GSM615102,11.1744819,12.00226884,11.89682134,9.958397365,12.01473663,11.0995994,11.96412389,9.611233767,10.05629912,10.76106874,9.936063237,11.21216621,9.704479675,3.960079863,8.572096288,14.30712478,10.15845214,7.930868767,9.292103644,9.614658749,0
GSM615103,10.46312662,10.70546914,12.4805799,10.04379219,9.471668376,9.949948218,9.852041714,9.527433743,9.400751449,7.848956222,13.91559884,9.304517091,7.077911886,13.53494776,9.704425213,9.118012835,7.942324729,7.417510401,10.15427548,13.43401463,0
GSM615104,10.25234433,11.91366144,11.24228248,9.470194414,11.69248033,9.536810787,11.25355931,8.881873236,10.70626586,9.355160559,9.029443193,10.09249042,9.088087401,8.498473836,9.33270204,10.36932683,10.85701983,6.743118014,9.245388302,11.44512797,0
GSM615106,9.628199857,11.39774854,10.92035928,6.132057767,12.99637429,9.166464994,11.75035886,9.222551075,8.615785133,8.905217997,8.794654305,10.03191194,10.6138188,7.706773964,9.126986801,11.96104969,7.975518888,8.060133534,8.740154253,9.749630318,0
